epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,261.783,1.00107,1.89491,1.3186,0.32907,0.33628,0.27555,0.19336,1.16591,2.75198,1.49746,0.000332461,0.000332461,0.000332461
2,519.78,1.10949,1.82371,1.38921,0.42053,0.34826,0.31106,0.22404,1.19438,2.00422,1.49917,0.000652611,0.000652611,0.000652611
3,780.267,1.09016,1.7529,1.39078,0.4407,0.36361,0.34062,0.25231,1.09477,1.91162,1.42328,0.000959562,0.000959562,0.000959562
4,1040.57,1.02184,1.61714,1.33887,0.56931,0.41949,0.43661,0.32982,0.98731,1.66378,1.33585,0.0009406,0.0009406,0.0009406
5,1301.25,0.97718,1.49249,1.31329,0.61084,0.45321,0.4874,0.3819,0.94137,1.41748,1.30791,0.0009208,0.0009208,0.0009208
6,1562.03,0.93881,1.3889,1.29008,0.6402,0.47937,0.51329,0.39426,0.94558,1.44507,1.30572,0.000901,0.000901,0.000901
7,1822.71,0.90559,1.33105,1.26613,0.64598,0.52653,0.56117,0.43738,0.90858,1.2502,1.2699,0.0008812,0.0008812,0.0008812
8,2083.54,0.87633,1.28825,1.25929,0.71965,0.52198,0.59832,0.46701,0.87999,1.14618,1.24301,0.0008614,0.0008614,0.0008614
9,2344.21,0.86831,1.23777,1.24557,0.67111,0.53111,0.59902,0.47058,0.8567,1.2018,1.23178,0.0008416,0.0008416,0.0008416
10,2604.79,0.85967,1.18237,1.23696,0.70244,0.51955,0.58476,0.46049,0.85434,1.19626,1.23926,0.0008218,0.0008218,0.0008218
11,2864.1,0.83661,1.14921,1.22646,0.71932,0.56893,0.64113,0.51407,0.8244,1.05105,1.19677,0.000802,0.000802,0.000802
12,3124.91,0.8271,1.10163,1.21248,0.72819,0.57709,0.65382,0.52772,0.80754,0.99495,1.19238,0.0007822,0.0007822,0.0007822
13,3385.43,0.80136,1.06465,1.20068,0.77176,0.57102,0.65933,0.52892,0.80405,0.96799,1.18878,0.0007624,0.0007624,0.0007624
14,3646.07,0.78668,1.03561,1.19093,0.76679,0.58227,0.67879,0.54581,0.79127,0.93091,1.1874,0.0007426,0.0007426,0.0007426
15,3906.5,0.77965,1.02098,1.19067,0.75868,0.58484,0.6732,0.54576,0.77378,0.95265,1.16663,0.0007228,0.0007228,0.0007228
16,4165.4,0.77676,0.99759,1.19081,0.77076,0.62987,0.70233,0.56713,0.77668,0.89375,1.17036,0.000703,0.000703,0.000703
17,4426.12,0.7568,0.9645,1.17648,0.7564,0.6143,0.70037,0.57267,0.75643,0.86897,1.15284,0.0006832,0.0006832,0.0006832
18,4686.71,0.75893,0.94985,1.17346,0.76216,0.62951,0.70912,0.5785,0.76266,0.86601,1.15973,0.0006634,0.0006634,0.0006634
19,4947.2,0.74541,0.92832,1.163,0.79863,0.64084,0.72343,0.5899,0.74724,0.82906,1.14606,0.0006436,0.0006436,0.0006436
20,5208.07,0.743,0.90588,1.15928,0.80371,0.62209,0.72769,0.59692,0.74319,0.83563,1.14499,0.0006238,0.0006238,0.0006238
21,5468.78,0.72677,0.88222,1.15161,0.80673,0.6409,0.72816,0.59626,0.73968,0.82793,1.1313,0.000604,0.000604,0.000604
22,5728.33,0.72844,0.85908,1.14663,0.79777,0.65473,0.73873,0.60702,0.72778,0.79472,1.12595,0.0005842,0.0005842,0.0005842
23,5989.28,0.72164,0.84931,1.14373,0.78967,0.64986,0.73634,0.60846,0.72433,0.79373,1.12993,0.0005644,0.0005644,0.0005644
24,6250.01,0.71137,0.83548,1.14335,0.80906,0.65416,0.74417,0.61497,0.72307,0.7783,1.13096,0.0005446,0.0005446,0.0005446
25,6510.7,0.71281,0.82074,1.13677,0.82218,0.63361,0.7402,0.60652,0.72833,0.79907,1.13035,0.0005248,0.0005248,0.0005248
26,6769.7,0.70703,0.8073,1.12644,0.81307,0.672,0.75688,0.62673,0.71296,0.7391,1.12129,0.000505,0.000505,0.000505
27,7029.95,0.68967,0.7863,1.12382,0.82938,0.67009,0.76055,0.63127,0.70323,0.73678,1.10605,0.0004852,0.0004852,0.0004852
28,7290.46,0.68432,0.77865,1.12149,0.81329,0.67727,0.75938,0.63199,0.70305,0.73842,1.11515,0.0004654,0.0004654,0.0004654
29,7550.86,0.67634,0.76063,1.1165,0.82579,0.68137,0.76576,0.62985,0.70619,0.72109,1.11265,0.0004456,0.0004456,0.0004456
30,7809.8,0.68647,0.76056,1.1133,0.83821,0.67055,0.77418,0.64523,0.69434,0.70808,1.103,0.0004258,0.0004258,0.0004258
31,8070.23,0.66321,0.72228,1.10699,0.83888,0.68161,0.77419,0.64386,0.69291,0.70311,1.10517,0.000406,0.000406,0.000406
32,8329.15,0.66641,0.71889,1.10492,0.82741,0.69232,0.77725,0.64733,0.68622,0.69267,1.09766,0.0003862,0.0003862,0.0003862
